# name	address	city	state	zipcode	phone	website	general email	ceo name	ceo email
3M	3M Center	St. Paul	MN	55144	651-733-1110	www.3m.com	info@3m.com	George W. Buckley	gwbuckley@mmm.com
A. Schulman	3550 W. Market St.	Fairlawn	OH	44333	330-666-3751	www.aschulman.com	info@aschulman.com	Joseph M. Gingo	None
A.G. Edwards	1 N. Jefferson Ave.	Saint Louis	MO	63103	314-955-3000	www.agedwards.com	websupport@agedwards.com	Robert L. Bagby	robert.bagby@agedwards.com
A.O. Smith	11270 W. Park Place	Milwaukee	WI	53224	414-359-4000	www.aosmith.com	info@aosmith.com	Paul W. Jones	None
Abbott Laboratories	100 Abbott Park Rd.	Abbott Park	IL	60064	847-937-6100	www.abbott.com	Melissa.brotz@abbott.com	Miles D. White	miles.white@abbott.com
Abercrombie & Fitch	6301 Fitch Path	New Albany	OH	43054	614-283-6500	www.abercrombie.com	info@abercrombie.com	Michael S. Jeffries	mike_jeffries@abercrombie.com
AbitibiBowater	55 E. Camperdown Way	Greenville	SC	29602	864-271-7733	www.abitibibowater.com	info@abitibibowater.com	David J. Paterson	None
ABM Industries	160 Pacific Ave.	San Francisco	CA	94111	415-733-4000	www.abm.com	info@abm.com	Henrik C. Slipsager	hslipsager@abm.com
ACCO Brands	300 Tower Pkwy.	Prairie View	IL	60069	847-541-9500	www.accobrands.com	info@acco.com	David D. Campbell	david.campbell@acco.com
Acuity Brands	1170 Peachtree St. N.E.	Atlanta	GA	30309	404-853-1400	www.acuitybrands.com	info@acuitybrandsnyc.com	Vernon J. Nagel	vern.nagel@acuitybrands.com
Adobe Systems	345 Park Ave.	San Jose	CA	95110	408-536-6000	www.adobe.com	info@adobe.com	Shantanu Narayen	snarayen@adobe.com
Advance Auto Parts	5008 Airport Rd.	Roanoke	VA	24012	540-362-4911	www.advanceautoparts.com	cccsupport@advance-auto.com	Darren R. Jackson	darren.jackson@advanceautoparts.com
Advanced Micro Devices	1 AMD Place	Sunnyvale	CA	94085	408-749-4000	www.amd.com	complaints@amd.com	Hector de J. Ruiz	hector.ruiz@amd.com
Aetna	151 Farmington Ave.	Hartford	CT	06156	860-273-0123	www.aetna.com	sandbergj@aetna.com	Ronald A. Williams	None
Affiliated Computer Services	2828 N. Haskell Ave.	Dallas	TX	75204	214-841-6111	www.acs-inc.com	info@acs-inc.com	Lynn R. Blodgett	lynn.blodgett@acs-inc.com
Affinia Group Intermediate Holdings	1101 Technology Dr.	Ann Arbor	MI	48108	734-827-5400	www.affiniagroup.com	general.info@affiniagroup.com	Terry R. McCormick	None
AFLAC	1932 Wynnton Rd.	Columbus	GA	31999	706-323-3431	www.aflac.com	siu@aflac.com	Daniel P. Amos	damos@aflac.com
AGCO	4205 River Green Pkwy.	Duluth	GA	30096	770-813-9200	www.agcocorp.com	corporate.relations@agcocorp.com	Martin H. Richenhagen	None
Agilent Technologies	5301 Stevens Creek Blvd.	Santa Clara	CA	95051	408-553-7777	www.agilent.com	contact_us@agilent.com	William P. Sullivan	None
Agilysys	2255 Glades Road	Boca Raton	FL	33431	561-999-8700	www.agilysys.com	agilysyssupport@agilysys.com	Arthur Rhein	
AGL Resources	10 Peachtree Place NE	Atlanta	GA	30309	404-584-4000	www.aglresources.com	corpcomm@aglresources.com	John W. Somerhalder II	None
AIMCO	4582 S. Ulster St. Pkwy.	Denver	CO	80237	303-757-8101	www.aimco.com	ResidentRelations@aimco.com	Terry Considine	None
Air Products & Chemicals	7201 Hamilton Blvd.	Allentown	PA	18195	610-481-4911	www.airproducts.com	info@airproducts.com	John E. McGlade	mcgladje@airproducts.com
Airgas	259 N. Radnor-Chester Rd.	Radnor	PA	19087	610-687-5253	www.airgas.com	custserv@airgas.com	Peter McCausland	peter.mccausland@airgas.com
Airtran Holdings	9955 AirTran Blvd.	Orlando	FL	32827	407-318-5600	www.airtran.com	info@airtranweb.com	Robert L. Fornaro	None
AK Steel Holding	9227 Centre Pointe Dr.	West Chester	OH	45069	513-425-5000	www.aksteel.com	mike.frankland@aksteel.com	James L. Wainscott	
Alaska Air Group	19300 International Blvd.	Tukwila	WA	98188	206-392-5040	www.alaskaair.com	Reservations@alaskaair.com	William S. Ayer	william.ayer@alaskaair.com
Albemarle	330 S. Fourth St.	Richmond	VA	23219	804-788-6000	www.albemarle.com	eelko.brevoord@albemarle.com	Mark C. Rohr	m.rohr@albemarle.com
Alcoa	390 Park Ave.	New York	NY	10022	212-836-2674	www.alcoa.com	AlcoaDirect@Alcoa.com.	Alain J.P. Belda	alain.belda@alcoa.com
Aleris International	25825 Science Park Dr.	Beachwood	OH	44122	216-910-3400	www.aleris.com	hr@aleris.com	Steven J. Demetriou	steve.demetriou@aleris.com
Alexander & Baldwin	822 Bishop St.	Honolulu	HI	96813	808-525-6611	www.alexanderbaldwin.com	inquiries@abprop.com	W. Allen Doane	a.doane@alexanderbaldwin.com
Allegheny Energy	800 Cabin Hill Dr.	Greensburg	PA	15601	724-837-3000	www.alleghenyenergy.com	accsales@alleghenyenergy.com	Paul J. Evanson	pevanson@alleghenyenergy.com
Allegheny Technologies	1000 Six PPG Place	Downtown	PA	15222	412-394-2800	www.alleghenytechnologies.com	info@alleghenytechnologies.com	L. Patrick Hassey	None
Allergan	2525 Dupont Dr.	Irvine	CA	92612	714-246-4500	www.allergan.com	info@allergan.com	David E. I. Pyott	pyott_david@allergan.com
Alliance Data Systems	17655 Waterview Pkwy.	Dallas	TX	75252	972-348-5100	www.alliancedata.com	sales@alliancedatasystems.com	J. Michael Parks	michael.parks@alliancedata.com
Alliance One International	8001 Aerial Center Parkway	Morrisville	NC	27560	919-379-4300	www.aointl.com	info@amstock.com	Robert E. Harrison	None
Alliant Energy	4902 N. Biltmore Ln.	Madison	WI	53718	608-458-3311	www.alliantenergy.com	customercare@alliantenergy.com	William D. Harvey	None
Alliant Techsystems	5050 Lincoln Dr.	Edina	MN	55436	952-351-3000	www.atk.com	atk.corporate@atk.com	Daniel J. Murphy	daniel.murphy@atk.com
